GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Logistica,com.donaton.logistica.filter,LoggingFilter,0,33,0,0,0,8,0,3,0,3
Logistica,com.donaton.logistica.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
Logistica,com.donaton.logistica.exception,GlobalExceptionHandler,61,59,0,2,11,11,2,3,2,2
Logistica,com.donaton.logistica.controller,LogisticaController,6,16,0,0,1,3,1,2,1,2
Logistica,com.donaton.logistica,DataLoader,125,0,2,0,35,0,4,0,3,0
Logistica,com.donaton.logistica,LogisticaApplication,5,3,0,0,2,1,1,1,1,1
Logistica,com.donaton.logistica.service,CentroAcopioService,4,87,1,1,0,20,1,5,0,5
