GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Central,com.donaton.central,CentralApplication,8,0,0,0,3,0,2,0,2,0
Central,com.donaton.central,WebClientConfig,5,0,0,0,2,0,2,0,2,0
Central,com.donaton.central.controller,BffController,0,59,0,0,0,18,0,3,0,3
Central,com.donaton.central.controller,FallbackController,42,0,0,0,9,0,5,0,5,0
